t,condition,iv,dv,measure
1,Control,5,3.430916905,3
2,Control,5,3.581180374,3
3,Control,5,2.971481541,3
4,Control,5,3.623842597,3
5,Control,5,3.210742434,3
6,Control,5,4.118426075,3
7,Control,5,3.497284457,3
8,Control,5,3.080487323,3
9,Control,5,3.498605446,3
10,Control,5,3.969589144,3
11,Experimental,15,10.57016231,3
12,Experimental,15,9.527124365,3
13,Experimental,15,11.95896522,3
14,Experimental,15,10.72369934,5
15,Experimental,15,10.931682,8
16,Experimental,15,10.20943391,11
17,Experimental,15,10.01878992,11
18,Experimental,15,11.17629346,10.9
19,Experimental,15,11.5029047,10.8
20,Experimental,15,10.26497219,10.7
