t,condition,iv,dv,measure
1,Relaxing music,15,4.774264714,1
3,Relaxing music,15,4.308799494,1
5,Relaxing music,15,5.181363676,1
7,Relaxing music,15,4.966169641,1
9,Relaxing music,15,4.755269923,4
11,Relaxing music,15,5.599005691,3.9
13,Relaxing music,15,5.680920566,3.8
15,Relaxing music,15,4.908822778,3.7
17,Relaxing music,15,4.206195599,3.6
19,Relaxing music,15,5.926135441,3.5
21,Control,30,7.734967121,3.45
23,Control,30,6.994506285,3.4
25,Control,30,6.689243215,3.35
27,Control,30,7.920040456,3.3
29,Control,30,7.845314975,8
31,Control,30,6.388755609,7.9
33,Control,30,6.235094784,7.8
35,Control,30,7.497818244,7.7
37,Control,30,7.665607466,7.6
39,Control,30,7.855149016,7.5
41,Meditation,45,12.70428258,7.4
43,Meditation,45,11.33477113,7.35
45,Meditation,45,11.5628467,7.3
47,Meditation,45,11.45449108,7.25
49,Meditation,45,11.87054516,11
51,Meditation,45,11.59017628,10.9
53,Meditation,45,12.54186873,10.8
55,Meditation,45,11.48129389,10.7
57,Meditation,45,11.85238241,10.65
59,Meditation,45,12.66903679,10.6
