"t","condition","iv","dv","measure"
1,"Fruit",15,182.515806907548,"???"
2,"Fruit",15,208.792834366239,"???"
3,"Fruit",15,171.17367971951,"???"
4,"Fruit",15,187.351759005765,"???"
5,"Fruit",15,202.105670825776,"???"
6,"Fruit",15,180.202009116902,"???"
7,"Fruit",15,169.750153289367,"???"
8,"Fruit",15,200.902260934338,"???"
9,"Fruit",15,203.601051957445,"???"
10,"Fruit",15,187.303583600957,"???"
11,"Veggie",5,174.541979590781,"???"
12,"Veggie",5,164.036938353959,"???"
13,"Veggie",5,175.404040444321,"???"
14,"Veggie",5,199.972050068869,"???"
15,"Veggie",5,191.627381355596,"???"
16,"Veggie",5,159.927252621874,"???"
17,"Veggie",5,167.817764469751,"???"
18,"Veggie",5,178.185757907202,"???"
19,"Veggie",5,172.319958642902,"???"
20,"Veggie",5,153.897487103561,"???"
