"t","condition","iv","dv","dvb"
1,"Fruit",15,179.434867306996,181.741129111458
2,"Fruit",15,187.970971017768,194.932628128622
3,"Fruit",15,191.884742563792,168.75315886444
4,"Fruit",15,194.601854178635,194.507652389798
5,"Fruit",15,196.424686001354,182.109779361889
6,"Fruit",15,196.853813774867,199.16007557933
7,"Fruit",15,187.826122816515,194.787779927369
8,"Fruit",15,204.963446670932,181.83186297158
9,"Fruit",15,181.369904676523,181.275702887686
10,"Fruit",15,184.994104218498,170.679197579032
1,"Veggie",5,181.741129111458,179.434867306996
2,"Veggie",5,194.932628128622,187.970971017768
3,"Veggie",5,168.75315886444,191.884742563792
4,"Veggie",5,194.507652389798,194.601854178635
5,"Veggie",5,182.109779361889,196.424686001354
6,"Veggie",5,199.16007557933,196.853813774867
7,"Veggie",5,194.787779927369,187.826122816515
8,"Veggie",5,181.83186297158,204.963446670932
9,"Veggie",5,181.275702887686,181.369904676523
10,"Veggie",5,170.679197579032,184.994104218498
