"t","condition","iv","dv"
1,"Fruit",15,177.88565706518
2,"Fruit",15,195.679217962761
3,"Fruit",15,181.342245565781
4,"Fruit",15,181.57060065492
5,"Fruit",15,167.482237170017
6,"Fruit",15,195.994083199207
7,"Fruit",15,182.772560810413
8,"Fruit",15,167.357604574441
9,"Fruit",15,180.085329815454
10,"Fruit",15,179.484431271702
1,"Veggie",5,174.893586644433
2,"Veggie",5,181.792193095082
3,"Veggie",5,175.446892465423
4,"Veggie",5,156.155883338572
5,"Veggie",5,170.898285106471
6,"Veggie",5,193.00201277846
7,"Veggie",5,168.885535942733
8,"Veggie",5,161.462251474083
9,"Veggie",5,154.670612499106
10,"Veggie",5,182.900479208156
