"t","condition","iv","dv","measure"
1,"Fruit",15,198.337421796586,"???"
2,"Fruit",15,187.662723737919,"???"
3,"Fruit",15,186.212270552444,"???"
4,"Fruit",15,200.739573025216,"???"
5,"Fruit",15,172.142426666546,"???"
6,"Fruit",15,186.633869829123,"???"
7,"Fruit",15,187.575952703464,"???"
8,"Fruit",15,201.696417832645,"???"
9,"Fruit",15,201.20576288654,"???"
10,"Fruit",15,177.218249924861,"???"
1,"Veggie",5,190.460303499768,"???"
2,"Veggie",5,179.750975486057,"???"
3,"Veggie",5,190.304703876544,"???"
4,"Veggie",5,190.131607864893,"???"
5,"Veggie",5,168.083302422107,"???"
6,"Veggie",5,178.756751532306,"???"
7,"Veggie",5,179.664204451602,"???"
8,"Veggie",5,205.788851156745,"???"
9,"Veggie",5,190.597797726217,"???"
10,"Veggie",5,173.159125680422,"???"
