"t","condition","iv","dv","dvb"
1,"Fruit",15,197.596334595695,198.918514175735
2,"Fruit",15,212.848745465768,203.450079952536
3,"Fruit",15,197.227714188682,183.497107702339
4,"Fruit",15,193.424201973365,183.916438606244
5,"Fruit",15,188.082839738977,181.230145398416
6,"Fruit",15,194.910041387867,177.314824346702
7,"Fruit",15,192.895773215571,172.681218666552
8,"Fruit",15,176.716866276431,195.9312992598
9,"Fruit",15,186.962277030361,175.420451347548
10,"Fruit",15,209.686529568009,166.219293723548
1,"Veggie",5,198.918514175735,197.596334595695
2,"Veggie",5,203.450079952536,212.848745465768
3,"Veggie",5,183.497107702339,197.227714188682
4,"Veggie",5,183.916438606244,193.424201973365
5,"Veggie",5,181.230145398416,188.082839738977
6,"Veggie",5,177.314824346702,194.910041387867
7,"Veggie",5,172.681218666552,192.895773215571
8,"Veggie",5,195.9312992598,176.716866276431
9,"Veggie",5,175.420451347548,186.962277030361
10,"Veggie",5,166.219293723548,209.686529568009
