"t","condition","iv","dv"
1,"Fruit",15,180.728527962059
2,"Fruit",15,205.569475014746
3,"Fruit",15,187.762733654863
4,"Fruit",15,181.033917849943
5,"Fruit",15,179.646334968343
6,"Fruit",15,187.979842359727
7,"Fruit",15,195.445497257218
8,"Fruit",15,186.704465876356
9,"Fruit",15,182.785492333894
10,"Fruit",15,170.815320812999
1,"Veggie",5,173.477478884982
2,"Veggie",5,193.180279438026
3,"Veggie",5,177.307407466201
4,"Veggie",5,186.72936018699
5,"Veggie",5,176.140968407989
6,"Veggie",5,190.64200043171
7,"Veggie",5,185.497515835671
8,"Veggie",5,171.331469551904
9,"Veggie",5,188.480934670942
10,"Veggie",5,202.064108454392
