"t","condition","iv","wdv","wdvb"
1,"Fruit",15,146.956482080752,131.847327308316
2,"Fruit",15,125.969424270431,124.183602666039
3,"Fruit",15,122.699287194909,125.858644815619
4,"Fruit",15,133.299572445716,140.086668586349
5,"Fruit",15,133.314531616038,129.322567971239
6,"Fruit",15,108.901634776544,118.510848078242
7,"Fruit",15,146.40907266604,139.299756999427
8,"Fruit",15,141.571693435916,137.888196007312
9,"Fruit",15,156.107148099487,146.64869407589
10,"Fruit",15,149.945953684288,140.086303712463
1,"Veggie",5,131.847327308316,146.956482080752
2,"Veggie",5,124.183602666039,125.969424270431
3,"Veggie",5,125.858644815619,122.699287194909
4,"Veggie",5,140.086668586349,133.299572445716
5,"Veggie",5,129.322567971239,133.314531616038
6,"Veggie",5,118.510848078242,108.901634776544
7,"Veggie",5,139.299756999427,146.40907266604
8,"Veggie",5,137.888196007312,141.571693435916
9,"Veggie",5,146.64869407589,156.107148099487
10,"Veggie",5,140.086303712463,149.945953684288
