"t","condition","iv","wide.dv","measure"
1,"Fruit",15,210.600524539617,"???"
2,"Fruit",15,159.394654984575,"???"
3,"Fruit",15,183.948729106548,"???"
4,"Fruit",15,175.537876596076,"???"
5,"Fruit",15,200.09196646248,"???"
6,"Fruit",15,162.450822867393,"???"
7,"Fruit",15,193.255283490306,"???"
8,"Fruit",15,230.841233457307,"???"
9,"Fruit",15,174.748730451373,"???"
10,"Fruit",15,201.262237597344,"???"
1,"Veggie",5,197.982726600777,"???"
2,"Veggie",5,145.876623339791,"???"
3,"Veggie",5,178.839976075347,"???"
4,"Veggie",5,174.155960956536,"???"
5,"Veggie",5,197.13240521295,"???"
6,"Veggie",5,149.833024928553,"???"
7,"Veggie",5,179.737251845522,"???"
8,"Veggie",5,225.732480426106,"???"
9,"Veggie",5,173.366814811833,"???"
10,"Veggie",5,198.302676347814,"???"
