"t","condition","iv","wdv"
1,"Fruit",15,158.119347256944
2,"Fruit",15,199.875023196229
3,"Fruit",15,216.65834811868
4,"Fruit",15,219.400698999284
5,"Fruit",15,208.256955200371
6,"Fruit",15,198.368856738922
7,"Fruit",15,190.171319205358
8,"Fruit",15,193.416888445281
9,"Fruit",15,154.627712212904
10,"Fruit",15,197.259239509914
1,"Veggie",5,157.856712816381
2,"Veggie",5,177.892612388786
3,"Veggie",5,199.545955387367
4,"Veggie",5,207.353557482829
5,"Veggie",5,184.903631880348
6,"Veggie",5,198.106222298358
7,"Veggie",5,168.188908397915
8,"Veggie",5,176.304495713968
9,"Veggie",5,142.580570696448
10,"Veggie",5,173.905916189891
