"t","condition","iv","dv","measure"
1,"Fruit",15,5.32224071169656,"???"
2,"Fruit",15,21.0894510186893,"???"
3,"Fruit",15,15.1536278929887,"???"
4,"Fruit",15,21.1999938876728,"???"
5,"Fruit",15,11.2284638006798,"???"
6,"Fruit",15,7.16340762283983,"???"
7,"Fruit",15,11.0323155575594,"???"
8,"Fruit",15,15.507934020493,"???"
9,"Fruit",15,11.3487602321662,"???"
10,"Fruit",15,15.9390564977582,"???"
11,"Veggie",5,10.627829818247,"???"
12,"Veggie",5,20.5001676191903,"???"
13,"Veggie",5,23.3066262082006,"???"
14,"Veggie",5,19.4486597924343,"???"
15,"Veggie",5,23.4714085243898,"???"
16,"Veggie",5,29.6540507062843,"???"
17,"Veggie",5,32.1450702867965,"???"
18,"Veggie",5,25.5660332292153,"???"
19,"Veggie",5,21.3982532741801,"???"
20,"Veggie",5,30.9110350273706,"???"
